Date,Area,Rent,Food,Transport,Utilities,Misc,Total
2019-01-31,Juja,15127,8158,8208,3125,2116,36734
2019-01-31,Ruaka,49251,17177,13156,4940,11103,95627
2019-01-31,Kileleshwa,83988,23945,11118,5890,9843,134784
2019-01-31,South B,39112,16865,10093,4517,9666,80252
2019-01-31,Kikuyu,18046,14293,7477,2487,6554,48856
2019-01-31,Karen,152120,30395,17262,8315,18435,226526
2019-01-31,Rongai,27288,19333,9508,4952,8743,69825
2019-01-31,Kitengela,23275,12521,6740,4112,5803,52452
2019-01-31,Embakasi,25876,13479,8386,4207,8422,60371
2019-01-31,Karen,148760,30652,16160,7306,15198,218076
2019-01-31,Langata,58310,21070,10278,4942,9592,104192
2019-01-31,Kikuyu,24927,11414,7065,3070,7218,53695
2019-01-31,Langata,59202,24126,11633,3740,10523,109223
2019-01-31,Kitengela,25076,12477,8501,3668,6638,56360
2019-01-31,Thika,20007,14708,5042,2121,2508,44385
2019-01-31,Ruaka,46753,19932,12590,3302,10211,92789
2019-01-31,Thika,21809,13776,9143,3919,8202,56848
2019-01-31,Karen,148503,31256,17405,8522,16277,221963
2019-01-31,Ngong,39359,13765,7318,4917,9111,74470
2019-01-31,Kileleshwa,77905,23793,12167,4293,11214,129372
2019-01-31,Donholm,37335,13805,6506,2583,4791,65021
2019-01-31,Kasarani,17068,8902,8405,4925,3248,42548
2019-01-31,Kasarani,17279,12207,4328,4725,4508,43047
2019-01-31,Donholm,34729,19320,11201,3137,7007,75393
2019-01-31,Juja,12660,8684,8087,3902,6329,39662
2019-01-31,Ngong,38033,15112,10293,3241,7524,74204
2019-01-31,Githurai,7926,8553,3658,1860,6557,28553
2019-01-31,Kitengela,23132,11976,6402,2682,8913,53105
2019-01-31,Umoja,26429,16106,7676,2012,7798,60021
2019-01-31,Umoja,25642,16911,6634,4006,8065,61258
2019-01-31,Kasarani,24452,15015,5827,4565,4880,54739
2019-01-31,Westlands,88936,25856,12842,7939,12087,147660
2019-01-31,Ngong,33963,14525,9078,5238,9010,71814
2019-01-31,Kitengela,26888,14051,7518,2891,5766,57114
2019-01-31,Ngong,35499,14391,10835,5128,8788,74641
2019-01-31,Juja,18642,6830,7615,3618,3790,40495
2019-01-31,Ruiru,22675,15234,7672,4450,6989,57020
2019-01-31,Mlolongo,19362,10882,7716,3970,5180,47110
2019-01-31,Langata,56791,21075,11350,3870,11820,104905
2019-01-31,Kileleshwa,78406,23977,12698,4434,13416,132931
2019-01-31,Mlolongo,18420,12048,7017,3536,7437,48458
2019-01-31,Donholm,36231,17879,9915,3181,6141,73347
2019-01-31,Kasarani,22099,14176,6172,3640,2329,48417
2019-01-31,South B,43647,15567,9043,3304,5013,76573
2019-01-31,Langata,52851,20850,13246,4874,10625,102446
2019-01-31,Ngong,36907,14267,6884,2977,4696,65731
2019-01-31,Rongai,31888,13372,5972,4381,5323,60937
2019-01-31,Juja,14368,12999,8438,3144,7066,46015
2019-01-31,Kasarani,20639,11551,4765,2522,3791,43268
2019-01-31,Rongai,31932,16493,9773,4079,7332,69609
2019-01-31,Umoja,28339,13262,4438,3167,4227,53433
2019-01-31,Thika,21844,10918,9029,4055,5418,51264
2019-01-31,Githurai,14948,7826,2908,3709,6376,35767
2019-01-31,Ruaka,42277,22540,9891,4150,8519,87378
2019-01-31,Ngong,37122,17033,8941,5031,6993,75120
2019-01-31,Thika,20400,14482,7130,3969,4538,50519
2019-01-31,Kikuyu,19755,9663,9083,2002,5866,46370
2019-01-31,Donholm,33143,19356,6879,3846,4868,68092
2019-01-31,Mlolongo,16449,10563,8327,2270,4437,42046
2019-01-31,Juja,13928,6666,5399,3417,3789,33199
2019-01-31,South B,38368,17212,10019,4313,6140,76051
2019-01-31,Ruiru,23807,13496,4437,4260,2379,48379
2019-01-31,Donholm,37314,15212,8549,4885,5617,71577
2019-01-31,Mlolongo,21118,14229,7911,3572,7940,54770
2019-01-31,Kileleshwa,78424,19872,11042,6113,11643,127094
2019-01-31,Embakasi,26676,14001,5518,4334,8929,59458
2019-01-31,Thika,17077,14703,5531,4276,3854,45441
2019-01-31,Ruaka,46498,16743,13241,4123,6958,87564
2019-01-31,Kileleshwa,78114,21473,14854,4741,13142,132325
2019-01-31,Kileleshwa,80496,21755,13870,6688,10401,133210
2019-01-31,Thika,20619,13118,5302,4654,2762,46456
2019-01-31,Ngong,34233,17401,10078,3794,8001,73508
2019-01-31,South B,42848,20864,8502,3088,7196,82497
2019-01-31,Mlolongo,16473,13799,8776,4318,5052,48417
2019-01-31,Kileleshwa,81583,23616,10026,6398,13200,134824
2019-01-31,Kitengela,28972,14251,7067,3748,4927,58964
2019-01-31,Embakasi,23038,12811,7679,2489,3851,49868
2019-01-31,Rongai,34934,13087,8158,4602,4985,65767
2019-01-31,Thika,21399,12827,4860,4759,5266,49111
2019-01-31,Kileleshwa,82437,24308,10501,6318,11674,135239
2019-01-31,Ruaka,43140,22384,9116,3726,7161,85527
2019-01-31,Mlolongo,21862,8851,7859,2812,2475,43857
2019-01-31,Ngong,33909,15498,6703,4237,8791,69138
2019-01-31,Thika,22321,15250,7942,2217,8398,56128
2019-01-31,Ruiru,21557,10735,5331,2391,7491,47504
2019-01-31,Kitengela,26296,13619,9637,3528,8876,61956
2019-01-31,Langata,55919,21134,13892,3832,12988,107765
2019-01-31,Thika,17560,12176,4367,2241,4924,41267
2019-01-31,Kikuyu,24166,11719,6711,3247,3922,49765
2019-01-31,Rongai,32909,15917,10270,3188,8548,70833
2019-01-31,Karen,154798,28337,20386,7104,14312,224936
2019-01-31,Kikuyu,22746,13906,4035,2037,8370,51093
2019-01-31,Karen,154699,31615,18466,8279,17369,230427
2019-01-31,Ngong,32440,17550,8674,3370,9589,71623
2019-01-31,Mlolongo,15838,11347,5046,3218,3001,38448
2019-01-31,Rongai,31824,17253,7498,5117,7499,69192
2019-01-31,Mlolongo,20385,8067,8170,3904,5838,46365
2019-01-31,Rongai,28456,15774,6262,3159,6497,60148
2019-01-31,Mlolongo,20149,13065,3525,2558,3544,42841
2019-01-31,Donholm,38515,15708,11017,3113,7840,76193
2019-01-31,South B,43733,18315,11289,3634,8862,85832
2019-01-31,Kikuyu,20332,12502,7382,2689,7452,50357
2019-01-31,Kikuyu,20880,9393,7983,3681,3106,45042
2019-01-31,Ruiru,24375,15065,5908,4780,7780,57908
2019-01-31,Ngong,36588,16090,8382,5171,5160,71391
2019-01-31,Karen,154343,25706,16282,6635,16988,219953
2019-01-31,Ruaka,42317,22293,11679,5966,11985,94240
2019-01-31,Westlands,88038,28273,13389,5284,11545,146529
2019-01-31,Mlolongo,17504,11802,3540,4498,7548,44891
2019-01-31,Kasarani,23341,12730,6324,4720,4042,51157
2019-01-31,Kikuyu,24858,13996,6141,2212,6002,53210
2019-01-31,South B,37717,20023,9594,4240,10379,81952
2019-01-31,Westlands,94073,26164,13376,6077,10681,150371
2019-01-31,Kileleshwa,77407,24561,10501,6520,11202,130192
2019-01-31,Ruiru,21936,9180,7350,2972,5489,46927
2019-01-31,Mlolongo,18429,8099,3553,1880,3195,35156
2019-01-31,Ruiru,20699,12310,7716,3963,3773,48460
2019-01-31,Donholm,38979,16182,6457,4227,8872,74718
2019-01-31,Githurai,10820,11571,7368,4303,6876,40938
2019-01-31,Langata,53947,18087,11642,6210,12922,102808
2019-01-31,Juja,15512,12731,6661,2299,6973,44176
2019-01-31,Embakasi,23524,13146,6766,2265,8649,54350
2019-01-31,Mlolongo,20477,8630,4241,3094,2490,38930
2019-01-31,Embakasi,28888,12300,6091,2824,7808,57911
2019-01-31,Kitengela,26460,14430,7099,2262,8240,58491
2019-01-31,South B,43442,15866,10584,3260,8414,81565
2019-01-31,Karen,152300,30222,19620,8694,14299,225135
2019-01-31,Westlands,91158,27648,14357,5842,12788,151793
2019-01-31,Juja,15469,7190,4666,2937,6652,36914
2019-01-31,Ruiru,19490,11914,8820,3663,6732,50618
2019-01-31,Kitengela,22816,13908,9009,4397,8042,58173
2019-01-31,Ruaka,42193,19672,9459,3804,7410,82537
2019-01-31,Ruaka,44264,22962,9021,3194,6659,86099
2019-01-31,South B,43058,15717,9946,4068,6358,79145
2019-01-31,Githurai,14433,9644,7738,3312,6279,41406
2019-01-31,Kikuyu,24187,9683,6358,4687,4986,49900
2019-01-31,Rongai,32565,15910,5511,2362,8174,64522
2019-01-31,Juja,17559,7225,5003,2705,6295,38787
2019-01-31,Kileleshwa,82942,21779,10520,5428,9643,130312
2019-01-31,Juja,15401,8146,5852,2116,3453,34968
2019-01-31,Kitengela,26983,13650,8210,4158,5241,58242
2019-01-31,Ruaka,43493,20192,10236,3321,11839,89081
2019-01-31,Kitengela,23180,15978,5986,4931,6576,56650
2019-01-31,Langata,59099,20539,11118,5118,7940,103813
2019-01-31,Umoja,28134,11548,6682,3763,8231,58358
2019-01-31,Westlands,92693,25462,15479,5722,13290,152646
2019-01-31,Embakasi,27135,15128,4735,3610,8154,58762
2019-01-31,Karen,155245,26809,16352,7168,16522,222095
2019-01-31,Juja,18660,7525,4116,2463,5348,38113
2019-01-31,Kileleshwa,80510,25758,10733,7005,11983,135989
2019-01-31,Karen,152871,25851,17494,7367,16680,220262
2019-01-31,Thika,22360,13810,4230,3166,2976,46543
2019-01-31,Westlands,91044,25117,16542,7418,10666,150787
2019-01-31,Juja,17772,9488,7438,3478,6002,44177
2019-01-31,Ngong,32949,19062,10515,3023,5630,71180
2019-01-31,Mlolongo,16273,12242,5951,2902,4125,41492
2019-01-31,Kitengela,27050,15514,6276,2342,6304,57486
2019-01-31,Kitengela,29068,12997,7113,3105,4328,56610
2019-01-31,Rongai,31745,12772,9849,5018,6709,66093
2019-01-31,Langata,56374,23675,13901,3660,10589,108199
2019-01-31,Kitengela,27922,13958,8928,4787,7445,63040
2019-01-31,Karen,150014,27425,19514,8545,14410,219908
2019-01-31,Rongai,33344,18090,7070,5205,7450,71160
2019-01-31,Kikuyu,23801,11402,8265,3531,5792,52792
2019-01-31,Ruiru,20018,11371,4336,2281,3613,41619
2019-01-31,Ruaka,49610,22933,13514,5056,11641,102754
2019-01-31,Karen,152597,30827,16376,6249,13643,219692
2019-01-31,Karen,152127,29999,19711,6702,15461,224000
2019-01-31,Karen,152148,26247,20511,7963,13037,219906
2019-01-31,Juja,13851,11630,5088,2214,7133,39916
2019-01-31,Westlands,90124,26653,17226,6314,15026,155342
2019-01-31,Ruaka,42366,19595,12929,3487,11654,90031
2019-01-31,South B,37420,20335,10354,5780,8442,82329
2019-01-31,Githurai,12587,9663,5340,3587,6275,37452
2019-01-31,Langata,54688,22506,10615,4578,12214,104601
2019-01-31,Umoja,23048,14128,8346,4459,3202,53183
2019-01-31,Ngong,38399,13338,7224,3581,8968,71510
2019-01-31,Langata,54821,19188,13766,4526,7565,99867
2019-01-31,Umoja,22502,11589,5781,2825,6040,48737
2019-01-31,Ruaka,45318,21207,12004,5314,9367,93210
2019-01-31,Karen,153062,27339,19734,8265,17269,225669
2019-01-31,Mlolongo,16788,8502,5503,4102,6214,41109
2019-01-31,Kikuyu,19306,10853,8516,4215,6658,49549
2019-01-31,Ruaka,43775,20640,11980,4435,8446,89275
2019-01-31,Githurai,10190,11990,5061,3174,4967,35382
2019-01-31,Donholm,38407,17538,8966,3580,6885,75376
2019-01-31,Kasarani,23198,11019,4950,3540,2430,45137
2019-01-31,Thika,23454,14442,8545,3952,5622,56015
2019-01-31,Rongai,29002,13526,5931,4632,8729,61820
2019-01-31,Westlands,93386,22751,14081,7035,10699,147952
2019-01-31,Langata,59137,19634,13075,4634,11525,108004
2019-01-31,Kileleshwa,79618,21677,13743,6611,8823,130473
2019-01-31,Donholm,33433,13934,6435,2547,9238,65587
2019-01-31,Kasarani,21654,9708,7257,2550,5399,46568
2019-01-31,Westlands,94791,28069,19320,5892,10355,158427
2019-01-31,Thika,24311,9575,4235,4235,4534,46889
2019-01-31,Thika,22342,15289,6969,3214,2636,50450
2019-01-31,Umoja,30021,17000,5800,4614,5579,63014
2019-01-31,Ngong,35366,14149,6950,4691,8801,69957
2019-01-31,Kitengela,29755,12057,8876,4480,7426,62594
2019-01-31,Ruiru,24328,10627,4508,2916,2860,45239
2019-01-31,Kasarani,17241,9499,6521,4565,5701,43527
2019-01-31,Kikuyu,18064,13360,7074,2416,4072,44986
2019-01-31,Rongai,28386,15089,6510,4283,8967,63236
2019-01-31,Donholm,37922,14491,9997,4641,4450,71500
2019-01-31,Thika,23777,12006,4636,2079,5308,47807
2019-01-31,Embakasi,25531,14676,4600,2354,3021,50183
2019-01-31,Langata,53634,21473,13882,4046,12694,105729
2019-01-31,Thika,22779,15323,6394,2806,3982,51285
2019-01-31,Kileleshwa,78533,22974,14362,5876,8427,130172
2019-01-31,Mlolongo,15209,8078,7425,4272,2617,37601
2019-01-31,Rongai,29110,13487,9792,4029,8460,64878
2019-01-31,Langata,53821,18038,12224,5850,11317,101250
2019-01-31,Thika,23930,14779,6765,4013,3754,53241
2019-01-31,Embakasi,26160,14167,5525,4376,8077,58305
2019-01-31,Donholm,36172,18871,8750,5469,4564,73826
2019-01-31,Ruaka,43428,17505,9829,5054,7987,83803
2019-01-31,Kikuyu,23396,14073,5068,2823,5734,51094
2019-01-31,Westlands,89335,22081,13235,6532,12212,143395
2019-01-31,Kileleshwa,82505,24549,12156,5681,9251,134143
2019-01-31,Embakasi,26624,11048,5883,4006,7559,55120
2019-01-31,Karen,147547,27134,20020,8191,14833,217725
2019-01-31,Rongai,27208,13032,8773,3804,6010,58828
2019-01-31,Westlands,90094,28530,16324,7887,14962,157798
2019-01-31,Ruiru,22905,10033,4978,2805,3519,44239
2019-01-31,Embakasi,26140,17324,5151,4146,7863,60624
2019-01-31,Karen,147347,27120,19196,7633,18576,219872
2019-01-31,Githurai,10782,12305,4113,3314,3233,33747
2019-01-31,Mlolongo,15633,12934,4906,1958,2022,37452
2019-01-31,Ngong,39198,18993,11210,5413,4234,79048
2019-01-31,Juja,13508,10239,4560,3275,2577,34159
2019-01-31,Kasarani,24701,14572,8939,4976,6272,59461
2019-01-31,Thika,20100,12947,6164,3214,4686,47111
2019-01-31,Embakasi,22759,14741,4066,3034,7861,52461
2019-01-31,Ruaka,49915,21391,15991,4226,6355,97878
2019-01-31,Ngong,37163,13935,6626,4481,5265,67470
2019-01-31,Westlands,93498,26454,12621,6488,15179,154240
2019-01-31,Ruaka,43365,22033,8953,5412,9396,89159
2019-01-31,Juja,19244,10757,4755,2296,5148,42200
2019-01-31,Juja,16210,11445,7312,1916,3267,40150
2019-01-31,Karen,147424,26099,16984,6741,14953,212201
2019-01-31,Rongai,33246,14740,8899,2996,7269,67150
2019-01-31,Ngong,36056,18406,9002,5319,7558,76341
2019-01-31,Juja,14375,7985,5099,3738,3444,34641
2019-01-31,Juja,14200,11142,4433,3024,4556,37355
2019-01-31,Kileleshwa,83604,26095,9893,5647,9665,134904
2019-01-31,Langata,53304,22531,10392,4098,10452,100777
2019-01-31,Kileleshwa,77182,20722,13489,5526,11073,127993
2019-01-31,Ruiru,23228,14051,6805,3209,7879,55172
2019-01-31,Juja,18335,8416,8398,1914,7048,44111
2019-01-31,Kikuyu,22727,9833,8584,2821,5472,49437
2019-01-31,Ruaka,49812,20739,8911,3073,6080,88615
2019-01-31,Mlolongo,17662,9897,4810,2330,6632,41330
2019-01-31,South B,44236,19912,11193,3939,9628,88908
2019-01-31,Ngong,32691,18686,6496,3555,9878,71306
2019-01-31,Karen,153986,28699,19567,7372,13752,223376
2019-01-31,Langata,55610,17973,10070,6452,8218,98323
2019-01-31,South B,42934,20504,9644,5882,7034,85997
2019-01-31,Mlolongo,16955,13437,7607,2352,7600,47950
2019-01-31,Ruaka,43096,21434,13049,4803,8570,90952
2019-01-31,Kikuyu,23707,13457,5840,4524,6364,53892
2019-01-31,Donholm,35724,15533,10439,3645,4055,69397
2019-01-31,Juja,15542,11457,5486,3018,1560,37063
2019-01-31,Mlolongo,21177,12942,5225,2252,3320,44916
2019-01-31,Umoja,23900,12366,4848,3369,8023,52506
2019-01-31,Embakasi,25294,11033,8024,4944,5405,54700
2019-01-31,Kileleshwa,83034,23963,10087,5934,12588,135607
2019-01-31,Embakasi,27244,13351,5235,2432,4518,52780
2019-01-31,Kasarani,22768,10464,8526,4155,3310,49223
2019-01-31,Ruiru,18609,11453,7911,2367,7994,48334
2019-01-31,Langata,56007,18665,14727,3632,11178,104207
2019-01-31,Thika,22574,10306,6663,2177,7256,48977
2019-01-31,Donholm,32811,17618,10394,3289,7453,71566
2019-01-31,Githurai,14837,11921,3406,3798,3701,37663
2019-01-31,South B,40599,16346,10088,3962,10747,81741
2019-01-31,Umoja,23976,11917,5157,3119,7871,52040
2019-01-31,Kasarani,23239,10223,8432,4027,6896,52817
2019-01-31,Githurai,11891,8936,7912,1584,6033,36355
2019-01-31,Kileleshwa,82183,25190,10936,5909,12074,136293
2019-01-31,Langata,52233,21898,14193,4052,12426,104802
2019-01-31,Kikuyu,23888,13822,6375,3914,4230,52229
2019-01-31,Mlolongo,19594,10948,4931,3180,3095,41748
2019-01-31,Ruiru,21958,14625,4788,4772,6257,52400
2019-01-31,Kitengela,24617,16730,7740,4137,3293,56517
2019-01-31,Ngong,35097,15796,7817,3682,6895,69288
2019-01-31,Kikuyu,22125,10397,5473,3360,6532,47888
2019-01-31,Juja,16453,12571,7980,3205,2081,42291
2019-01-31,Ngong,32125,15916,6598,4485,6632,65757
2019-01-31,Donholm,33425,13749,9765,5054,9340,71334
2019-01-31,Kasarani,17767,11346,4886,2172,3959,40130
2019-01-31,Thika,23946,9995,5538,2194,7986,49658
2019-01-31,Githurai,9296,12559,5015,4427,4553,35850
2019-01-31,Umoja,26230,12056,6581,3810,5746,54423
2019-01-31,Westlands,88883,28025,15555,6842,11189,150494
2019-01-31,Ruiru,23746,10409,4895,3025,3910,45985
2019-01-31,Kitengela,28519,14868,5481,4113,6843,59824
2019-01-31,Rongai,34461,13875,9709,3436,6361,67843
2019-01-31,Embakasi,27680,14035,4263,2126,6926,55030
2019-01-31,Ruiru,23835,9534,7652,2066,5347,48435
2019-01-31,Mlolongo,15180,8458,8407,3688,7448,43180
2019-01-31,South B,37605,20849,12316,3852,6042,80663
2019-01-31,Langata,53128,20161,12622,5500,12565,103975
2019-01-31,Rongai,29852,14526,8633,2748,8562,64322
2019-01-31,Ruaka,43155,21101,9315,4323,11784,89678
2019-01-31,Thika,21880,12005,6959,2146,5684,48674
2019-01-31,Kasarani,19046,11454,7399,3027,3472,44398
2019-01-31,Rongai,34722,17727,9987,5147,4725,72309
2019-01-31,Kileleshwa,81879,20442,12270,6397,11059,132047
2019-01-31,Thika,21385,11862,5693,4290,5220,48450
2019-01-31,Kileleshwa,80760,22038,11111,6668,8240,128817
2019-01-31,Rongai,33123,17700,7519,4071,3753,66166
2019-01-31,Embakasi,26223,14421,5303,2509,8534,56990
2019-01-31,Westlands,92919,22661,15706,5736,11250,148271
2019-01-31,Githurai,10660,11650,4273,1652,1062,29297
2019-01-31,Kitengela,29959,16016,6645,2326,4983,59929
2019-01-31,Rongai,28252,12840,10011,4021,4760,59884
2019-01-31,South B,41521,20885,8629,5319,9886,86238
2019-01-31,Umoja,23849,14283,5024,3923,5465,52544
2019-01-31,Kitengela,26227,11968,7622,2478,6527,54822
2019-01-31,Donholm,33820,16382,7951,4814,7473,70439
2019-01-31,Kasarani,24606,11342,5439,2023,6238,49647
2019-01-31,Langata,52904,23287,10371,4132,7412,98107
2019-01-31,Thika,23531,15128,4052,2642,8236,53589
2019-01-31,Mlolongo,15055,8346,6965,2652,5397,38414
2019-01-31,Donholm,38264,18512,6447,3819,9452,76494
2019-01-31,Langata,52971,20382,12386,6010,12430,104179
2019-01-31,Kasarani,20515,11884,8784,4642,3023,48848
2019-01-31,South B,42875,18198,8095,4799,6136,80103
2019-01-31,Donholm,33435,19262,9607,2845,8033,73183
2019-01-31,Mlolongo,20046,7886,4417,4048,2824,39220
2019-01-31,Thika,19366,11013,7964,4702,8370,51415
2019-01-31,Embakasi,26836,17477,4168,4156,4935,57572
2019-01-31,Kileleshwa,83671,24319,14679,4878,10248,137795
2019-01-31,Langata,52913,19346,10879,4728,7773,95638
2019-01-31,Rongai,31086,13467,7400,5096,6680,63730
2019-01-31,Kitengela,28772,16814,6720,3650,8800,64755
2019-01-31,Kileleshwa,81011,23083,11068,4314,8306,127782
2019-01-31,Westlands,94470,24246,16823,5714,15148,156401
2019-01-31,Kitengela,22456,13594,8432,2561,8101,55144
2019-01-31,Juja,13293,9757,4405,3012,3758,34225
2019-01-31,Umoja,28586,12464,8267,4221,8148,61686
2019-01-31,Kileleshwa,78871,23538,12535,6412,13915,135271
2019-01-31,Kasarani,21439,12201,5056,3046,4947,46689
2019-01-31,Embakasi,27891,13534,6504,2022,4176,54127
2019-01-31,Donholm,39604,18806,9175,3523,6859,77968
2019-01-31,Ruaka,48741,17929,9676,3480,9053,88879
2019-01-31,Ruaka,45215,22058,11337,3466,7484,89559
2019-01-31,Kasarani,23146,13267,8861,2177,6584,54035
2019-01-31,Westlands,94800,27691,16498,7632,15923,162544
2019-01-31,Kasarani,19045,10181,6814,4427,4129,44596
2019-01-31,Embakasi,27025,13553,8677,3394,5918,58567
2019-01-31,Githurai,8445,7978,7107,4453,1470,29452
2019-01-31,Kileleshwa,77898,25317,11282,5600,12670,132767
2019-01-31,Ruaka,46347,20111,11544,4136,6182,88319
2019-01-31,Ngong,35099,19565,6419,3749,9819,74651
2019-01-31,Kasarani,20623,12061,4293,3032,2494,42503
2019-01-31,Embakasi,22521,11470,8031,4589,3142,49753
2019-01-31,Ruiru,19073,11484,8130,2300,6627,47613
2019-01-31,Rongai,34892,18111,9053,3884,5406,71346
2019-01-31,Ruiru,19124,8964,8398,3600,7935,48020
2019-01-31,Donholm,32457,15792,7891,3035,6914,66089
2019-01-31,Kitengela,29721,15846,9659,3884,3101,62211
