Sub-County,Ward,"Est. Median Household Expenditure (KSh/month, 2025 adj.)",Poverty Rate (%),Income Class,Notes/Key Proxy Source
Mathare,Ngei,45192,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Kahawa Soweto,97188,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Kahawa West,18768,75,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Kasarani,92147,3,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Mwiki,56240,26,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Roysambu,53260,37,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Baba Dogo,24029,53,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Korogocho,16819,68,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Mathare Valley,37727,39,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Utalii,24362,50,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Central,30071,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Kenyatta,59498,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Makadara,86885,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Maringo,12040,69,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Muthurwa,74711,7,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Ngara,47174,26,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Highridge,9267,79,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Karura,60221,9,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Kilimani,52029,16,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Kitisuru,12776,62,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Parklands/Westlands,65637,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
