Sub-County,Ward,df2_ward,match_type,"Est. Median Household Expenditure (KSh/month, 2025 adj.)",Poverty Rate (%),Income Class,Notes/Key Proxy Source
Embakasi South,Embakasi,Embakasi Ward,exact,16706,49,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi South,Imara Daima,Imara Daima Ward,exact,47581,15,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi South,Kwa Njenga,Kwa Njenga Ward,exact,49183,22,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi South,Mukuru,,unmatched,57786,14,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Donholm,,unmatched,47819,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Kwa Njiraini,,unmatched,49926,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Makadara,,unmatched,73016,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Mariguini,,unmatched,47737,35,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Umoja 2,Umoja I Ward,fuzzy,19179,63,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Airbase,Airbase Ward,exact,42404,19,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,California,California Ward,exact,34969,11,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Eastleigh North,Eastleigh North Ward,exact,84383,6,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Eastleigh South,Eastleigh South Ward,exact,8875,51,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Pumwani,Pumwani Ward,exact,96331,4,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Clay City,Clay City,exact,36130,13,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Githurai,Githurai Ward,exact,32978,23,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Jordan,,unmatched,21906,74,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Kasarani Central,,unmatched,25243,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Mihango,Mihango Ward,exact,15096,49,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Ruiru,,unmatched,64795,5,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Gatwikira,,unmatched,36002,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Kibra,,unmatched,96303,4,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Laini Saba,Laini Saba Ward,exact,39363,33,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Makina,Makina Ward,exact,33008,12,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Sarangombe,Sarang'ombe Ward,exact,35141,15,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,Karen,Karen Ward,exact,20933,62,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,Langata,,unmatched,51984,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,Nairobi West,Nairobi West Ward,exact,43296,23,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,South B,South C Ward,fuzzy,26100,29,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,South C,South C Ward,exact,8432,44,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Akamba,,unmatched,9535,73,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Harambee,Harambee Ward,exact,13453,47,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Maruba,,unmatched,26427,28,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Mwiki,Mwiki Ward,exact,48715,10,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Huruma,Huruma Ward,exact,9592,55,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Kiamaiko,Kiamaiko Ward,exact,34282,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Mathare A,,unmatched,24541,56,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Mathare B,,unmatched,23165,65,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Mlango Kubwa,Mlango Kubwa,exact,91792,6,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Ngei,Ngei Ward,exact,45192,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Kahawa Soweto,Kahawa West,fuzzy,97188,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Kahawa West,Kahawa West,exact,18768,75,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Kasarani,Kasarani Ward,exact,92147,3,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Mwiki,Mwiki Ward,exact,56240,26,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Roysambu,Roysambu,Roysambu Ward,exact,53260,37,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Baba Dogo,Babandogo,fuzzy,24029,53,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Korogocho,Korogocho Ward,exact,16819,68,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Mathare Valley,,unmatched,37727,39,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Ruaraka,Utalii,Utalii Ward,exact,24362,50,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Central,,unmatched,30071,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Kenyatta,,unmatched,59498,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Makadara,,unmatched,86885,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Maringo,,unmatched,12040,69,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Muthurwa,,unmatched,74711,7,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Starehe,Ngara,Ngara Ward Ward,exact,47174,26,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Highridge,,unmatched,9267,79,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Karura,Karura Ward,exact,60221,9,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Kilimani,Kilimani Ward,exact,52029,16,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Kitisuru,Kitisuru Ward,exact,12776,62,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Westlands,Parklands/Westlands,,unmatched,65637,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
